Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
8,1242,1,1602,273764,4270,3,25.14,0,0,3
6,1227,1,2117,4470892,31310,6,37.5,0,0,6
3,1121,1,1415,376015,32819,5,44.45,0,0,5
4,4010,1,2113,2055449,30552,1,5.38,0,0,1
5,1491,4,6611,956705,43039,6,56.28,0,0,6
4,2036,1,1123,1313634,2425,4,18,0,0,4
9,2083,4,6609,1084629,2025,2,36.08,0,0,2
6,1637,1,1250,2342185,1250,1,7.64,0,0,1
3,3217,1,4405,111152,43084,3,24.45,0,0,3
5,22362,1,1155,278119,1064,1,16.67,1,16.67,0
5,1245,1,1241,304023,1309,2,13.52,0,0,2
6,1453,1,1603,10615,45111,2,17.96,0,0,2
8,2216,1,1215,2292707,2233,11,219.34,0,0,11
6,1617,1,1102,180808,48417,15,68.7,0,0,15
9,1954,1,2812,555598,43307,9,47.52,0,0,9
6,2022,1,1009,7944142,1146,3,64.17,0,0,3
4,1337,1,1122,373794,48421,5,22.9,2,9.16,3
9,1121,1,1601,118829,4270,5,41.9,0,0,5
4,1120,1,1065,2022902,32802,7,83.37,0,0,7
6,2211,1,1034,4508102,1109,18,270.18,0,0,18
8,2013,1,2103,63847,30532,6,46.68,0,0,6
8,1461,1,4503,4484626,40930,2,12.3,0,0,2
8,2016,1,1302,183541,35651,1,7.5,0,0,1
6,1212,1,2103,424972,32934,4,28.16,0,0,4
6,2055,1,2103,1544515,30531,2,15.56,0,0,2
7,1217,1,1625,922152,325,2,16.3,0,0,2
7,1956,1,2103,593506,31507,4,25,0,0,4
3,1628,1,1134,2260057,1278,9,40.5,0,0,9
6,1622,1,1052,1448019,2233,2,39.88,0,0,2
5,4037,1,2102,1415987,30552,3,16.14,0,0,3
4,1374,4,6601,7350186,3270,7,83.37,0,0,7
5,1126,1,1046,1056326,1146,1,21.39,0,0,1
6,2653,1,1153,4347221,1250,8,61.12,0,0,8
6,1315,1,2053,62043,43067,1,9.63,0,0,1
3,1224,1,2152,1445064,30575,3,18.75,0,0,3
4,1332,1,1211,4354992,2425,9,40.5,0,0,9
6,1213,1,1035,1508895,1182,2,27.88,0,0,2
8,2016,1,1173,11436,972,2,37.96,0,0,2
4,1232,1,1008,200109,1125,12,115.2,0,0,12
3,1945,1,1160,4183948,1242,4,30.56,0,0,4
7,1672,4,6604,4474808,4270,5,46.9,0,0,5
5,1611,1,1256,151069,1216,2,16.76,0,0,2
5,1118,1,1410,4345353,1220,4,30.56,0,0,4
4,1423,1,1234,1071249,43202,2,16.76,0,0,2
6,3213,1,1036,4297137,3631,1,16.35,1,16.35,0
9,2220,4,6604,1214028,30531,26,202.02,0,0,26
8,1124,1,2820,4711960,43316,2,16.3,0,0,2
4,2071,1,4443,224999,31779,2,20.28,0,0,2
4,1631,1,1133,2077223,1216,1,8.38,0,0,1
9,1126,1,1202,4204408,31423,1,10.69,0,0,1
8,1140,1,1427,353343,972,2,37.96,1,18.98,1
3,3211,1,1610,897037,47124,1,10.48,0,0,1
3,2029,1,2022,7765376,43065,1,6.76,0,0,1
3,1620,1,2110,2111275,32937,3,21.12,0,0,3
9,1463,1,1267,4583900,34213,1,19.94,0,0,1
4,1222,1,1015,40024,1182,6,83.64,0,0,6
3,1122,1,1222,4629273,2233,2,39.88,0,0,2
4,1138,1,1440,986468,31423,1,10.69,0,0,1
3,2054,1,1240,4368137,1242,1,7.64,0,0,1
7,3212,1,1430,221910,48421,10,45.8,0,0,10
8,1122,1,1074,1429481,1146,3,64.17,0,0,3
9,2017,1,1062,132907,3144,1,21.32,0,0,1
9,4051,1,2009,1051809,43064,4,32.6,0,0,4
7,1583,4,6606,63647,1144,4,66.8,0,0,4
8,1219,1,1012,4338045,1182,2,27.88,0,0,2
9,1622,1,4456,2241447,43307,46,242.88,0,0,46
8,1315,1,1156,4412572,1284,25,75.5,0,0,25
8,1349,1,1033,1999320,3631,1,16.35,0,0,1
4,1219,1,1106,2212947,31423,2,21.38,0,0,2
4,1121,1,1416,2256766,1687,2,37.96,0,0,2
7,2644,1,1227,4668070,1250,2,15.28,0,0,2
4,2043,1,1053,2435780,1146,1,21.39,0,0,1
6,2017,1,1274,3026398,1238,1,9.83,0,0,1
4,1463,1,2116,511438,35711,3,20.76,0,0,3
7,1137,1,1069,2443117,49973,4,66.4,0,0,4
3,4037,1,5530,289513,30249,2,18,0,0,2
9,1123,1,1463,342085,1278,11,49.5,0,0,11
6,22362,1,1152,108060,41938,6,59.46,0,0,6
5,2629,1,4554,4451498,37058,3,22.5,0,0,3
6,2653,1,2124,4403369,43058,4,37.4,0,0,4
6,1914,1,2157,2352442,36532,1,10.14,0,0,1
7,3217,1,1612,4502202,35141,1,20.5,0,0,1
6,1591,4,6640,41698,41938,9,91.89,0,0,9
4,1476,4,4903,934575,43169,3,58.68,0,0,3
7,1595,4,6602,4235398,36537,5,22.75,0,0,5
7,1344,1,1012,403562,1182,6,83.64,0,0,6
8,3211,1,1616,4539892,31720,2,16.76,0,0,2
9,2020,1,1157,529357,1232,2,36.48,0,0,2
7,4051,1,2803,122591,31507,4,25,0,0,4
8,3217,1,1611,319890,4259,4,50.36,1,12.59,3
8,3213,1,1661,74909,30415,1,7.5,0,0,1
9,2021,1,1062,178234,2233,18,358.92,0,0,18
6,2044,1,1235,1312242,1309,3,20.28,0,0,3
8,4049,1,2124,128469,35305,8,50,0,0,8
7,1945,1,2161,4546134,32937,2,14.08,0,0,2
7,1545,4,6614,1531439,49519,2,30.2,0,0,2
8,1347,1,1285,4528677,1284,15,45.3,0,0,15
7,1344,1,1223,1010053,1284,11,33.22,0,0,11
8,2031,1,2804,233118,43316,2,16.3,0,0,2
4,1116,1,2122,169345,30569,2,14.08,0,0,2
7,1635,1,1017,1061508,47840,3,24,0,0,3
3,1140,1,1417,1933205,41843,6,41.16,0,0,6
6,1118,1,1418,4631112,1284,1,3.02,0,0,1
4,1116,1,2822,4515636,36746,4,46.12,0,0,4
6,1217,1,1140,82555,1250,5,38.2,0,0,5
6,1219,1,1124,1288501,1212,2,16.76,0,0,2
7,1492,4,4909,4530383,43040,10,68.2,0,0,10
4,2020,1,1211,2301253,1309,3,20.28,0,0,3
4,1314,7,3363,9594,43274,6,31.14,0,0,6
4,1625,1,1290,6070079,1216,2,16.76,0,0,2
4,1116,1,1082,61607,73,1,21.32,0,0,1
7,22560,1,1178,41391,3270,1,11.22,0,0,1
8,2237,1,1101,757037,35651,2,15,0,0,2
3,1140,1,2145,1874718,36746,5,57.65,0,0,5
3,2211,1,1034,646083,1147,8,96,0,0,8
8,1384,1,2125,664978,43058,3,28.05,0,0,3
4,1238,1,1105,8055914,1212,3,25.14,0,0,3
5,1588,2,1530,1685163,43040,25,190,6,45.6,19
4,1964,1,4504,1860727,43147,3,13.62,0,0,3
5,1335,1,1251,187083,1216,5,41.9,0,0,5
4,1116,1,2822,4515636,43065,2,13.52,0,0,2
6,1138,1,1037,1254617,3144,1,21.32,0,0,1
8,2013,1,1212,4235533,1309,2,13.52,0,0,2
7,2018,1,1205,133515,1278,5,22.5,0,0,5
5,1340,1,1171,7857280,1240,5,41.9,0,0,5
3,1311,1,1257,2106476,1125,5,48,0,0,5
3,1216,1,4412,1727719,43069,3,22.23,0,0,3
3,25699,1,2007,1553407,37058,3,24.45,0,0,3
4,1245,1,1113,919101,1230,1,16.67,0,0,1
6,1123,1,2811,1371749,37058,3,22.5,0,0,3
4,1632,1,4402,7460700,37058,2,15,0,0,2
9,1339,1,1202,613062,1146,1,21.39,0,0,1
8,1340,1,1060,252280,1150,5,69.8,0,0,5
7,1215,1,2103,713057,37361,7,43.75,0,0,7
6,23899,1,1121,476741,41843,11,75.46,0,0,11
4,2237,1,1105,605428,1278,12,54,0,0,12
3,2217,1,1226,2118414,1240,1,8.38,0,0,1
3,1911,1,1172,4389619,2425,40,180,0,0,40
3,2024,1,1001,4339435,3631,2,32.7,0,0,2
7,1340,1,1066,1518313,1146,5,106.95,0,0,5
7,3213,1,1412,1572861,1238,4,39.32,0,0,4
9,1122,1,1047,140721,1146,2,42.78,0,0,2
7,1944,11,3904,886792,34053,6,27,0,0,6
5,1420,1,5509,1500381,3718,2,18,0,0,2
7,1168,2,85,2382187,43052,35,545.3,0,0,35
3,1911,1,2053,1819939,43316,2,16.3,0,0,2
6,2629,1,1058,1435322,2233,2,39.88,0,0,2
3,22362,1,4413,43465,43067,1,9.63,0,0,1
3,1153,1,2830,2170987,37058,2,15,0,0,2
9,1227,1,4449,781072,35119,3,39.72,0,0,3
4,2013,1,2012,15103,31588,2,23.06,0,0,2
6,1346,1,2815,4502299,30532,3,23.34,0,0,3
3,1437,1,2003,156986,32953,14,224,0,0,14
5,1419,1,2119,2448071,36823,3,13.83,0,0,3
3,1347,1,2083,420214,43316,1,8.15,0,0,1
7,24049,1,1202,4485446,1212,2,16.76,0,0,2
9,1470,1,1152,4734986,43118,2,19.82,0,0,2
8,1530,1,1203,159088,1242,11,84.04,0,0,11
7,1963,1,1201,617955,1216,2,16.76,0,0,2
4,22090,1,2109,868600,36746,8,92.24,0,0,8
8,1212,1,1422,171060,1216,1,8.38,0,0,1
6,1219,1,1123,336916,1309,2,13.52,0,0,2
4,2213,1,1105,4447414,1238,4,39.32,0,0,4
4,2014,1,1603,768022,4280,4,24,0,0,4
7,1223,1,1150,167591,35651,14,105,0,0,14
5,1121,1,1055,4345257,2233,3,59.82,0,0,3
6,2217,1,1228,2394788,48417,10,45.8,0,0,10
9,2012,1,1223,1894299,4767,3,44.37,0,0,3
9,1656,1,2825,1325166,35305,22,137.5,0,0,22
4,2211,1,1211,1400022,35651,4,30,0,0,4
8,3219,1,1644,4220985,31298,4,35.56,0,0,4
8,1629,1,1244,1450103,1240,2,16.76,0,0,2
3,2060,1,2859,2210854,43285,10,52.8,0,0,10
3,1963,4,6609,4685044,43307,45,226.8,0,0,45
4,1220,1,1402,1702773,34768,1,22.5,0,0,1
9,1911,1,1158,141303,35651,7,52.5,0,0,7
8,1279,7,3904,4374365,37057,5,37.5,0,0,5
6,1471,1,1026,1857161,37519,10,199.4,0,0,10
4,1636,1,1101,1967885,1232,15,273.6,0,0,15
7,1617,1,1101,83475,1250,1,7.64,0,0,1
6,1259,7,3337,2474647,1250,10,76.4,0,0,10
8,1581,4,6609,2114246,4245,3,35.76,0,0,3
8,2055,1,1068,201537,1109,2,30.02,0,0,2
6,3215,1,2836,1278573,43285,6,31.68,0,0,6
8,1556,1,1007,152677,43175,5,79.25,0,0,5
3,1111,1,1621,75054,4270,1,8.38,1,8.38,0
7,1116,1,1160,1911783,41938,21,208.11,1,9.91,20
5,25759,1,2123,162098,30548,2,12.3,0,0,2
5,1419,1,1288,4619299,43207,8,24.16,0,0,8
3,1315,1,1272,389500,1284,3,9.06,0,0,3
4,2263,1,1121,1353876,972,1,19.54,0,0,1
5,1384,1,1112,807859,1309,3,20.28,0,0,3
4,1339,1,1102,4167064,1238,4,39.32,0,0,4
9,1936,1,1167,1593310,1250,5,38.2,0,0,5
6,23899,1,1235,9533134,2233,1,19.94,0,0,1
5,1129,2,76,22552,43028,319,5719.67,0,0,319
6,2213,1,1251,4584925,1240,1,8.38,0,0,1
3,1315,1,1265,144977,41938,1,9.91,0,0,1
3,1232,1,2107,4354256,30572,8,50,0,0,8
5,1420,1,1003,178798,45407,4,55.84,0,0,4
3,1632,1,1202,4161411,1232,4,72.96,0,0,4
6,2644,1,1601,1465810,4245,4,41.92,0,0,4
3,1636,1,4403,2000600,43285,3,15.84,0,0,3
4,1544,1,1233,2053426,1240,4,33.52,0,0,4
9,1111,1,1414,66590,1220,2,15.28,0,0,2
6,1346,1,1221,410384,43204,2,15.28,0,0,2
6,1936,1,1228,526571,2425,7,31.5,0,0,7
7,1232,1,2011,1834125,43069,2,14.82,0,0,2
9,1911,1,2053,106402,43064,2,16.3,0,0,2
5,2045,1,1265,1023168,2425,1,4.5,0,0,1
8,1544,1,1115,4476860,1284,10,30.2,0,0,10
6,3226,4,6612,1885888,1232,13,233.61,0,0,13
9,1936,1,1058,4594558,1146,10,213.9,0,0,10
7,1224,1,2171,233402,36745,4,46.12,0,0,4
9,1602,1,1101,4220847,1238,4,39.32,0,0,4
6,1111,1,1025,73546,1129,3,52.8,0,0,3
5,1612,1,4423,9488076,43215,2,20.28,0,0,2
6,1312,1,2059,3158170,43069,8,59.28,0,0,8
3,2032,1,1054,241130,1109,4,60.04,0,0,4
7,2653,1,2010,1668935,43065,4,27.04,0,0,4
8,4040,1,1106,1624414,36711,8,60,0,0,8
3,2256,4,6603,166799,4270,30,289.4,0,0,30
5,1936,1,2008,1192726,43285,21,110.88,0,0,21
3,2629,1,4454,211919,43064,2,16.3,0,0,2
8,1339,1,4501,4742875,40930,4,24.6,0,0,4
6,1384,1,1212,2376236,1309,3,20.28,0,0,3
4,1239,1,1226,1119776,1240,3,25.14,0,0,3
7,2214,1,1227,4232321,1240,1,8.38,0,0,1
7,2018,1,1242,4745545,48417,6,27.48,0,0,6
4,1456,4,4801,43037,43178,5,64,0,0,5
6,2653,1,1031,1094280,2233,7,139.58,0,0,7
8,1955,1,1110,1540797,34768,1,22.5,0,0,1
4,1236,1,1127,88100,972,1,18.98,0,0,1
7,22560,1,2130,4329178,31506,9,56.25,0,0,9
5,1114,2,48,17865,43027,160,2868.8,0,0,160
4,4051,1,5006,2416749,32861,7,38.22,0,0,7
3,2012,1,1159,77041,1242,3,22.92,0,0,3
7,1430,1,1236,2327907,43206,15,67.5,0,0,15
9,1371,4,6616,829604,43338,6,126.42,0,0,6
6,3215,1,2802,313807,43274,2,10.38,0,0,2
3,1127,1,1019,576939,1146,5,106.95,0,0,5
4,2073,4,6624,2266305,1232,7,131.25,0,0,7
6,1334,1,1216,3972045,1242,9,68.76,0,0,9
3,1310,1,1175,103419,1238,2,19.66,0,0,2
9,1237,1,1106,89813,5277,1,21.48,0,0,1
5,1119,1,1483,1285727,1250,6,45.84,0,0,6
5,1387,1,1015,412114,3144,1,21.32,0,0,1
4,1955,1,1226,1761117,2425,33,148.5,0,0,33
7,2072,1,1151,2208345,1309,2,13.52,0,0,2
5,1613,1,4453,4525560,31512,3,29.97,0,0,3
7,1622,1,1261,476839,1240,1,8.38,0,0,1
9,2211,1,4105,465903,43069,8,59.28,0,0,8
6,2276,1,2810,1223134,5621,3,24.45,0,0,3
7,2237,1,1250,532754,1216,1,8.38,0,0,1
4,1334,1,1221,1812082,1109,2,30.02,0,0,2
9,1998,1,6561,31557,43038,1,11.25,0,0,1
7,2653,1,5002,2404410,36003,0,0,5,26.45,0
7,1111,1,2107,57013,32937,3,21.12,0,0,3
5,1615,1,2802,2213002,36610,40,30.8,0,0,40
3,1119,1,1465,4418506,1284,3,9.06,0,0,3
6,1462,1,2003,743224,40680,10,68.6,0,0,10
8,1217,1,2812,675159,35309,17,106.25,0,0,17
6,1629,1,2110,1179554,43033,4,24.6,0,0,4
4,1338,1,1109,1444505,1242,6,45.84,0,0,6
3,2629,1,1150,727835,1064,2,33.34,0,0,2
4,4062,2,2572,2032016,35052,120,1437.6,0,0,120
7,1146,4,6607,2502094,34053,27,138.24,0,0,27
8,2011,4,6607,1737095,1160,6,118.08,0,0,6
5,1635,1,1224,3010826,1309,8,54.08,0,0,8
3,1347,1,1171,7837030,2425,50,225,0,0,50
7,1235,1,1102,4422568,1220,5,38.2,0,0,5
4,1545,1,1217,519665,1309,3,20.28,0,0,3
6,1971,1,1210,2172755,46149,1,20.75,0,0,1
7,2037,1,2809,580980,43285,12,63.36,0,0,12
3,1237,1,1204,89789,34868,11,33.22,0,0,11
5,2213,1,4512,4626524,48578,2,9.16,0,0,2
7,2012,1,1055,14792,1150,8,111.68,0,0,8
4,1212,1,1421,173405,972,3,56.94,0,0,3
9,1118,1,1025,1936069,1182,9,125.46,0,0,9
9,1330,1,2054,361054,43067,1,9.63,0,0,1
7,1224,1,4471,233927,43064,4,32.6,0,0,4
5,1342,1,1207,911351,2233,4,79.76,0,0,4
7,2060,1,2859,1626223,43285,10,52.8,0,0,10
4,1222,1,1622,1270897,4280,2,12,0,0,2
5,2229,1,2033,4435449,48891,3,22.23,0,0,3
7,1473,4,4915,1552639,43338,9,189.63,0,0,9
8,1359,11,3957,4597567,43180,1,16.8,0,0,1
6,2230,1,2851,1085808,5328,2,16.3,0,0,2
7,3217,1,1608,117700,35452,5,22.2,0,0,5
6,2092,11,3903,29736,34053,80,360,0,0,80
5,1611,1,1008,199287,46772,6,53.52,0,0,6
8,1279,6,3211,1119555,35303,15,93.75,0,0,15
5,1459,1,6607,145666,43147,13,59.02,0,0,13
4,1120,1,1070,584273,1146,3,64.17,0,0,3
5,1350,1,1132,380193,1309,2,13.52,0,0,2
8,1340,1,2168,4284477,31507,2,12.5,0,0,2
4,2242,1,1207,145434,1278,40,180,0,0,40
5,1349,1,1026,397684,1160,3,56.58,0,0,3
6,1245,1,1121,2321300,1238,4,39.32,0,0,4
8,2216,1,1203,2325581,46772,6,53.52,0,0,6
6,1911,1,1286,331939,1146,1,21.39,0,0,1
7,1623,1,1034,4299657,2233,22,438.68,0,0,22
8,2011,4,6631,2502012,43285,16,80.64,0,0,16
7,1461,1,1213,4383686,35571,2,42.78,0,0,2
3,1235,1,1103,85629,47840,2,16,0,0,2
7,1152,4,6611,1258249,4245,7,83.44,0,0,7
3,1419,1,1095,2205621,34215,4,60.04,0,0,4
3,1617,1,1001,1183575,1129,6,105.6,0,0,6
4,1632,1,1105,156663,1230,1,16.67,0,0,1
6,1419,1,1602,179185,45112,2,25.18,0,0,2
6,1954,1,1019,569724,2233,2,39.88,0,0,2
4,4046,1,8006,117407,43169,1,18.98,0,0,1
9,1245,1,1242,718503,2665,2,32,0,0,2
8,1117,1,1459,356980,1284,30,90.6,0,0,30
4,2014,1,1217,448234,35651,4,30,0,0,4
5,1218,1,1609,585460,31031,2,18,0,0,2
6,1130,1,1294,4337434,41938,2,19.82,0,0,2
6,3212,1,1228,589041,1278,8,36,0,0,8
5,1351,1,1064,165877,1150,18,251.28,0,0,18
7,2238,1,1206,444054,1125,4,38.4,0,0,4
4,2019,1,1217,2270091,1230,1,16.67,0,0,1
3,1625,1,1289,893753,1309,1,6.76,0,0,1
4,1315,1,1278,9575136,8921,3,24,0,0,3
5,2045,1,1253,3411608,1182,4,55.76,0,0,4
7,1235,1,1211,1551455,1240,2,16.76,0,0,2
7,1587,4,6628,4333905,5380,28,235.76,0,0,28
9,2264,1,4106,2293275,37057,7,53.06,0,0,7
7,1945,1,1254,267741,1284,13,39.26,0,0,13
8,1243,1,2811,5705,30549,1,5.38,0,0,1
3,1223,1,1222,4490854,1278,8,36,0,0,8
7,1222,1,1430,34143,1064,2,33.34,0,0,2
6,3216,1,1656,4444440,37187,4,29.64,0,0,4
5,2013,1,5009,842035,40217,1,8.98,0,0,1
6,1243,1,2813,657129,31310,1,6.25,14,87.5,0
5,1245,1,1235,1754049,1278,6,27,0,0,6
4,2015,1,1102,136038,1216,3,25.14,0,0,3
3,2071,1,5020,224391,45143,40,30,0,0,40
9,1451,1,1151,219540,3718,1,9,0,0,1
9,1347,1,1287,1525326,1238,5,49.15,0,0,5
4,1127,1,4445,1284303,32864,4,37.4,0,0,4
9,2215,1,1213,764360,1129,10,176,0,0,10
8,1227,1,2113,2465281,32934,1,7.04,0,0,1
4,2034,1,1037,1601036,73,1,21.32,0,0,1
5,1616,1,1139,303728,972,1,18.98,0,0,1
7,2045,1,1054,362691,2233,8,159.52,0,0,8
9,1912,1,2112,1109172,31514,6,59.94,0,0,6
7,1377,4,6609,820827,40447,15,162,0,0,15
7,2071,1,4449,229597,43147,2,9.08,0,0,2
9,2057,1,1251,2386286,1232,2,36.48,0,0,2
4,1470,1,2014,4217641,31514,1,9.99,0,0,1
9,2013,1,5009,4387748,30415,4,30,0,0,4
5,1612,1,1273,4512787,1220,1,7.64,0,0,1
7,1334,1,2003,555166,43069,1,7.41,0,0,1
5,1239,1,1123,185389,31720,2,16.76,0,0,2
8,1613,1,4453,1054991,43084,2,16.3,0,0,2
5,2019,1,1101,381073,1240,10,83.8,0,0,10
4,1232,1,2002,296124,46716,3,16.14,0,0,3
6,1557,1,2025,1751586,43307,2,11.86,0,0,2
8,2023,1,4410,33863,43069,2,14.82,0,0,2
4,2015,1,1220,668052,1284,5,15.1,0,0,5
4,1130,1,2803,2336444,30532,2,15.56,0,0,2
7,4046,1,8009,116022,43194,1,13.94,0,0,1
5,2014,1,4410,1996111,35113,1,9.35,0,0,1
7,1121,1,1640,375927,35452,13,57.72,0,0,13
3,1140,1,1225,4430387,1240,3,25.14,0,0,3
4,1143,6,3223,21044,5310,6,31.68,0,0,6
3,1437,1,1103,295930,36930,1,50.4,0,0,1
4,1963,1,1002,1012766,1150,7,97.72,0,0,7
5,1224,1,1611,441774,35147,3,61.5,0,0,3
4,2012,1,2010,2501986,35516,10,54.6,0,0,10
3,1213,1,1611,2221631,4259,1,12.59,0,0,1
8,1471,1,2148,783703,37361,6,37.5,0,0,6
7,1332,1,1007,751148,73,1,21.32,0,0,1
6,2239,4,6603,2501886,4270,14,131.32,0,0,14
9,1340,1,1057,251724,1182,4,55.76,0,0,4
7,1911,1,2165,2090478,37361,10,62.5,0,0,10
4,1112,1,1007,1425417,1109,3,45.03,0,0,3
3,2024,1,2112,104390,30555,5,26.9,0,0,5
4,1470,1,5513,175123,35516,6,32.76,0,0,6
6,4041,1,1160,154183,41938,5,49.55,0,0,5
7,2230,1,1230,1925253,1220,2,15.28,0,0,2
6,22362,1,1057,278133,1160,1,18.86,0,0,1
4,2017,1,1178,1816290,1309,1,6.76,0,0,1
9,1127,1,1010,556270,2233,6,119.64,0,0,6
5,2029,1,1129,4704471,48421,10,45.8,2,9.16,8
8,2032,1,2060,45977,43316,1,8.15,0,0,1
3,1612,1,2111,4422839,30572,3,18.75,0,0,3
8,2014,1,1005,1880345,32263,4,38.4,0,0,4
3,3214,1,2153,433571,36746,4,46.12,0,0,4
5,2015,1,1220,1634083,46772,2,17.84,0,0,2
8,1127,1,1023,2276897,1109,4,60.04,0,0,4
6,2239,1,1150,1660716,1278,4,18,0,0,4
8,1635,1,1223,3007843,1146,1,21.39,0,0,1
9,2057,1,1274,488314,1182,3,41.82,0,0,3
8,2030,1,1177,375529,41938,1,9.91,0,0,1
9,2217,1,1242,2394964,1212,2,16.76,0,0,2
9,1555,1,2036,2247920,43069,10,81.5,0,0,10
4,1614,1,1020,281083,1109,5,75.05,0,0,5
6,2055,1,1064,4538638,3631,2,32.7,0,0,2
7,2629,1,1261,5965281,1160,6,113.16,0,0,6
4,1120,1,1057,173589,3144,4,85.28,0,0,4
4,1123,1,1606,1696487,4280,8,48,0,0,8
7,1618,1,4421,2381348,43068,10,38.4,0,0,10
9,2030,1,1062,375567,1146,3,64.17,0,0,3
9,2237,1,5001,34752,44495,3,25.29,0,0,3
8,1112,1,1019,1119449,1146,3,64.17,0,0,3
5,1470,1,2017,906939,37058,8,60,0,0,8
8,2043,1,2851,2064525,31514,3,29.97,0,0,3
5,1420,1,5501,12838,35113,2,18.7,0,0,2
3,1332,1,2061,261479,43068,7,26.88,3,11.52,4
3,1120,1,1072,9694530,48077,1,14.26,0,0,1
9,1118,1,1018,438676,1146,9,192.51,0,0,9
6,1544,1,8001,1156100,2233,1,19.94,0,0,1
9,1279,7,3324,1249896,1125,2,19.2,0,0,2
6,1532,1,1250,158705,34053,14,63,0,0,14
8,2054,1,1249,127877,1242,1,7.64,0,0,1
5,1954,1,2830,2361256,30572,4,25,0,0,4
9,2240,1,2903,2269666,36964,2,9.22,0,0,2
7,2029,1,1128,879617,1309,1,6.76,0,0,1
3,1220,1,1607,413785,141,1,13.96,0,0,1
9,1556,1,1106,156084,43220,7,136.78,0,0,7
4,1222,1,2155,55671,30532,6,46.68,0,0,6
6,1415,1,1013,226904,34208,2,27.88,0,0,2
8,1625,1,2161,4452599,31507,5,31.25,0,0,5
